CplxID,Borough,CplxName,Routes,CplxLat,CplxLong,Hub,Time,PreEntries,NadirEntries,LatestEntries,Diff1,DiffPct1,Diff2,DiffPct2
365.0,Bx,Castle Hill Av,6,40.834255,-73.851222,0.0,08:00:00-12:00:00,1795.9756097560976,223.75,530.25,-1572.2256097560976,-0.8754159027636315,306.5,1.3698324022346369
363.0,Bx,Westchester Sq - E Tremont Av,6,40.839892,-73.842952,0.0,08:00:00-12:00:00,1361.2926829268292,163.0,376.0,-1198.2926829268292,-0.880260871123215,213.0,1.3067484662576687
620.0,Bk,Borough Hall / Court St,2 3 4 5 R,40.692404,-73.990151,0.0,08:00:00-12:00:00,9039.024390243903,352.25,974.0,-8686.774390243903,-0.9610300863464651,621.75,1.7650816181689142
356.0,Bk,Church Av,2 5,40.650843,-73.949575,0.0,05:00:00-09:00:00,3851.5853658536585,485.0,1129.75,-3366.5853658536585,-0.8740778266789095,644.75,1.329381443298969
359.0,Bk,Flatbush Av - Brooklyn College,2 5,40.632836,-73.947642,0.0,05:00:00-09:00:00,7417.121951219512,825.25,1968.25,-6591.871951219512,-0.8887371671347114,1143.0,1.3850348379279007
165.0,M,23 St,C E,40.745906,-73.998041,1.0,08:00:00-12:00:00,4643.073170731707,196.75,567.75,-4446.323170731707,-0.9576250485906097,371.0,1.8856416772554003
213.0,Bx,Fordham Rd,B D,40.861296,-73.897749,0.0,08:00:00-12:00:00,2864.8536585365855,402.25,887.0,-2462.6036585365855,-0.8595914319038984,484.75,1.2050963331261653
277.0,M,7 Av,B D E,40.762862,-73.981637,1.0,05:00:00-09:00:00,962.3414634146342,79.5,159.25,-882.8414634146342,-0.9173889902676399,79.75,1.0031446540880504
256.0,Q,Parsons Blvd,F,40.707564,-73.803326,0.0,08:00:00-12:00:00,1751.2439024390244,178.25,557.5,-1572.9939024390244,-0.8982152059163522,379.25,2.1276297335203367
255.0,Q,169 St,F,40.71047,-73.793604,0.0,08:00:00-12:00:00,2225.682926829268,146.0,598.25,-2079.682926829268,-0.9344021566414255,452.25,3.0976027397260273
316.0,M,50 St,1,40.761728,-73.983849,1.0,08:00:00-12:00:00,3413.2926829268295,113.75,294.25,-3299.5426829268295,-0.9666744078030655,180.5,1.5868131868131867
293.0,Bx,Van Cortlandt Park - 242 St,1,40.889248,-73.898583,0.0,08:00:00-12:00:00,2070.3414634146343,176.25,523.75,-1894.0914634146343,-0.9148691154987983,347.5,1.9716312056737588
623.0,M,Canal St,R W N Q J Z 6,40.718697,-74.000977,1.0,05:00:00-09:00:00,2427.9756097560976,121.0,304.25,-2306.9756097560976,-0.9501642440254352,183.25,1.5144628099173554
382.0,Bx,Fordham Rd,4,40.862803,-73.901034,0.0,08:00:00-12:00:00,2314.1951219512193,404.5,787.0,-1909.6951219512193,-0.8252092072258174,382.5,0.9456118665018541
368.0,Bx,Morrison Av- Sound View,6,40.829521,-73.874516,0.0,08:00:00-12:00:00,1687.5365853658536,223.75,501.75,-1463.7865853658536,-0.8674102819812398,278.0,1.2424581005586592
461.0,Q,Queensboro Plaza,7 N W,40.750582,-73.940202,0.0,08:00:00-12:00:00,4242.121951219512,161.25,618.0,-4080.871951219512,-0.9619883629338746,456.75,2.832558139534884
452.0,Q,90 St - Elmhurst Av,7,40.748408,-73.876613,0.0,08:00:00-12:00:00,4655.195121951219,448.25,1713.0,-4206.945121951219,-0.9037097289678985,1264.75,2.8215281650864474
626.0,Bk,Franklin Av / Botanic Garden,S 2 3 4 5,40.670499,-73.958759,0.0,05:00:00-09:00:00|08:00:00-12:00:00,5152.829268292682,278.5,614.5,-4874.329268292682,-0.9459520225687048,336.0,1.2064631956912029
344.0,Bk,Kingston Av,3,40.669399,-73.942161,0.0,08:00:00-12:00:00,1563.2682926829268,120.75,293.5,-1442.5182926829268,-0.9227579804661903,172.75,1.4306418219461698
107.0,M,Broad St,J Z,40.706476,-74.011056,1.0,05:00:00-09:00:00,291.4634146341463,52.5,100.75,-238.96341463414632,-0.8198744769874476,48.25,0.919047619047619
147.0,M,175 St,A,40.847391,-73.939704,0.0,08:00:00-12:00:00,4694.658536585366,213.75,802.75,-4480.908536585366,-0.9544695320577096,589.0,2.7555555555555555
257.0,Q,Sutphin Blvd,F,40.70546,-73.810708,0.0,05:00:00-09:00:00,1550.6410256410256,157.25,595.5,-1393.3910256410256,-0.898590326581232,438.25,2.7869634340222578
236.0,Bk,Bergen St,F G,40.686145,-73.990862,0.0,05:00:00-09:00:00,2666.609756097561,111.5,299.0,-2555.109756097561,-0.9581866076410167,187.5,1.6816143497757847
250.0,Bk,Kings Hwy,F,40.603217,-73.972361,0.0,05:00:00-09:00:00,1412.1707317073171,154.5,480.0,-1257.6707317073171,-0.8905939653534604,325.5,2.1067961165048543
405.0,M,23 St,6,40.739864,-73.986599,1.0,05:00:00-09:00:00,3335.390243902439,146.25,364.0,-3189.140243902439,-0.956152057388977,217.75,1.488888888888889
392.0,M,125 St,4 5 6,40.804138,-73.937594,0.0,05:00:00-09:00:00,5524.365853658536,964.75,1437.25,-4559.615853658536,-0.8253645711460095,472.5,0.4897641876133713
379.0,Bx,Mosholu Pkwy,4,40.87975,-73.884655,0.0,05:00:00-09:00:00,2539.0975609756097,470.5,971.5,-2068.5975609756097,-0.8146979433829957,501.0,1.0648246546227418
463.0,Q,Hunters Point Av,7,40.742216,-73.948916,0.0,05:00:00-09:00:00,2749.175,96.0,419.75,-2653.175,-0.9650804332208753,323.75,3.3723958333333335
358.0,Bk,Newkirk Av,2 5,40.639967,-73.948411,0.0,05:00:00-09:00:00,3194.439024390244,513.5,1007.5,-2680.939024390244,-0.8392519011697157,494.0,0.9620253164556962
54.0,Bk,Sheepshead Bay,B Q,40.586896,-73.954155,0.0,05:00:00-09:00:00,5909.243902439024,367.5,1483.5,-5541.743902439024,-0.9378093024983594,1116.0,3.036734693877551
630.0,Bk,Myrtle - Wyckoff Avs,M L,40.699707,-73.91181,0.0,08:00:00-12:00:00,6206.780487804878,543.5,1560.25,-5663.280487804878,-0.912434473706961,1016.75,1.8707451701931923
167.0,M,W 4 St,A B C D E F M,40.732338,-74.000495,1.0,05:00:00-09:00:00,4556.487804878048,189.0,421.25,-4367.487804878048,-0.9585206834532374,232.25,1.2288359788359788
169.0,M,Canal St,A C E,40.720824,-74.005229,1.0,08:00:00-12:00:00,2390.243902439024,63.25,262.5,-2326.993902439024,-0.9735382653061224,199.25,3.150197628458498
273.0,Q,Queens Plaza,E M R,40.748973,-73.937243,0.0,05:00:00-09:00:00,2715.4634146341464,142.5,367.25,-2572.9634146341464,-0.9475227693247346,224.75,1.5771929824561404
261.0,Q,Forest Hills - 71 Av,E F M R,40.721691,-73.844521,0.0,05:00:00-09:00:00,10079.7,600.0,2177.25,-9479.7,-0.9404744188815143,1577.25,2.62875
